Timestamp,Voltage,Binary Data
0.00,.520,00100001
0.00,2.656,10101001
0.00,2.695,10101100
0.00,2.461,10011101
0.00,2.266,10010001
0.00,2.109,10000110
0.00,2.012,10000000
0.00,2.012,10000000
0.00,2.012,10000000
0.00,2.031,10000001
0.00,2.012,10000000
0.00,2.031,10000001
0.00,2.070,10000100
0.00,2.500,10100000
0.00,2.500,10100000
0.00,2.500,10100000
0.00,2.500,10100000
0.00,2.539,10100010
0.01,2.500,10100000
0.01,2.441,10011100
0.01,2.383,10011000
0.01,2.344,10010110
0.01,2.383,10011000
0.01,2.480,10011110
0.01,2.598,10100110
0.01,2.500,10100000
0.01,2.480,10011110
0.01,2.363,10010111
0.01,2.422,10011011
0.01,2.285,10010010
0.01,3.145,11001001
0.01,3.164,11001010
0.01,2.461,10011101
0.01,2.539,10100010
0.02,2.598,10100110
0.04,2.676,10101011
0.06,2.676,10101011
0.08,2.715,10101101
0.11,2.793,10110010
0.13,2.871,10110111
0.15,3.105,11000110
0.17,3.145,11001001
0.19,3.027,11000001
0.21,2.773,10110001
0.23,2.617,10100111
0.25,2.578,10100100
0.27,2.559,10100011
0.29,2.520,10100001
0.32,2.578,10100100
0.34,2.559,10100011
0.36,2.578,10100100
0.38,2.559,10100011
0.40,2.500,10100000
0.42,2.500,10100000
0.44,2.559,10100011
0.46,2.637,10101000
0.48,2.656,10101001
0.50,2.656,10101001
0.52,2.676,10101011
0.55,2.656,10101001
0.57,2.598,10100110
0.59,2.656,10101001
0.61,2.773,10110001
0.63,2.754,10110000
0.65,2.715,10101101
0.67,2.695,10101100
0.70,2.676,10101011
0.72,2.500,10100000
0.74,3.555,11100011
0.76,3.281,11010001
0.78,2.695,10101100
0.80,2.715,10101101
0.82,2.695,10101100
0.84,2.734,10101110
0.86,2.773,10110001
0.88,2.754,10110000
0.90,2.734,10101110
0.93,2.832,10110101
0.95,3.027,11000001
0.97,2.930,10111011
0.99,2.812,10110011
1.01,2.520,10100001
1.03,2.500,10100000
1.05,2.324,10010100
1.07,2.305,10010011
1.09,2.305,10010011
1.11,2.324,10010100
1.14,2.383,10011000
1.16,2.441,10011100
1.18,2.520,10100001
1.20,2.500,10100000
1.22,2.480,10011110
1.24,2.363,10010111
1.26,2.266,10010001
1.29,2.187,10001011
1.31,2.227,10001110
1.33,2.207,10001101
1.35,2.344,10010110
1.37,2.461,10011101
1.39,2.539,10100010
1.41,2.500,10100000
1.43,2.324,10010100
1.45,2.227,10001110
1.47,2.187,10001011
1.49,1.992,01111111
1.51,3.789,11110010
1.54,2.695,10101100
1.56,2.305,10010011
1.58,2.305,10010011
1.60,2.246,10001111
1.62,2.344,10010110
1.64,2.402,10011001
1.66,2.461,10011101
1.68,2.539,10100010
1.71,2.637,10101000
1.73,2.832,10110101
1.75,2.852,10110110
1.77,2.773,10110001
1.79,2.559,10100011
1.81,2.500,10100000
1.83,2.500,10100000
1.85,2.266,10010001
1.88,2.266,10010001
1.90,2.266,10010001
1.92,2.324,10010100
1.94,2.344,10010110
1.96,2.344,10010110
1.98,2.383,10011000
2.00,2.383,10011000
2.02,2.383,10011000
2.04,2.461,10011101
2.06,2.500,10100000
2.09,2.480,10011110
2.11,2.480,10011110
2.13,2.500,10100000
2.15,2.559,10100011
2.17,2.676,10101011
2.19,2.695,10101100
2.21,2.617,10100111
2.23,2.559,10100011
2.25,2.578,10100100
2.27,2.617,10100111
2.30,2.520,10100001
2.32,2.871,10110111
2.34,3.633,11101000
2.36,2.812,10110011
2.38,2.715,10101101
2.40,2.656,10101001
2.42,2.695,10101100
2.44,2.715,10101101
2.46,2.734,10101110
2.49,2.734,10101110
2.51,2.754,10110000
2.53,2.891,10111001
2.55,3.027,11000001
2.57,2.988,10111111
2.59,2.773,10110001
2.61,2.520,10100001
2.63,2.441,10011100
2.65,2.500,10100000
2.68,2.324,10010100
2.70,2.363,10010111
2.72,2.422,10011011
2.74,2.383,10011000
2.76,2.383,10011000
2.78,2.500,10100000
2.80,2.500,10100000
2.82,2.500,10100000
2.84,2.520,10100001
2.86,2.539,10100010
2.89,2.520,10100001
2.91,2.578,10100100
2.93,2.539,10100010
2.95,2.559,10100011
2.97,2.598,10100110
2.99,2.656,10101001
3.01,2.754,10110000
3.03,2.676,10101011
3.06,2.695,10101100
3.08,2.617,10100111
3.10,2.598,10100110
3.12,2.461,10011101
3.14,4.199,100001100
3.16,3.086,11000101
3.18,2.500,10100000
3.20,2.578,10100100
3.22,2.617,10100111
3.24,2.695,10101100
3.26,2.695,10101100
3.28,2.695,10101100
3.30,2.754,10110000
3.33,2.891,10111001
3.35,2.910,10111010
3.37,2.910,10111010
3.39,2.852,10110110
3.41,2.559,10100011
3.43,2.500,10100000
3.46,2.285,10010010
3.48,2.266,10010001
3.50,2.305,10010011
3.52,2.383,10011000
3.54,2.500,10100000
3.56,2.500,10100000
3.58,2.461,10011101
3.60,2.500,10100000
3.62,2.539,10100010
3.65,2.539,10100010
3.67,2.500,10100000
3.69,2.500,10100000
3.71,2.500,10100000
3.73,2.500,10100000
3.75,2.500,10100000
3.77,2.520,10100001
3.79,2.617,10100111
3.81,2.500,10100000
3.83,2.500,10100000
3.85,2.402,10011001
3.87,2.480,10011110
3.90,2.285,10010010
3.92,3.770,11110001
3.94,2.871,10110111
3.96,2.500,10100000
3.98,2.598,10100110
4.00,2.656,10101001
4.02,2.695,10101100
4.05,2.695,10101100
4.07,2.832,10110101
4.09,2.891,10111001
4.11,3.008,11000000
4.13,3.145,11001001
4.15,3.242,11001111
4.17,3.145,11001001
4.19,2.812,10110011
4.21,2.656,10101001
4.24,2.559,10100011
4.25,2.500,10100000
4.28,2.500,10100000
4.30,2.500,10100000
4.32,2.363,10010111
4.34,2.344,10010110
4.36,2.480,10011110
4.38,2.461,10011101
4.40,2.520,10100001
4.42,2.500,10100000
4.44,2.402,10011001
4.46,2.500,10100000
4.49,2.402,10011001
4.51,2.441,10011100
4.53,2.500,10100000
4.55,2.461,10011101
4.57,2.500,10100000
4.59,2.578,10100100
4.61,2.520,10100001
4.64,2.500,10100000
4.66,2.500,10100000
4.68,2.500,10100000
4.70,2.383,10011000
4.72,4.277,100010001
4.74,2.773,10110001
4.76,2.500,10100000
4.78,2.500,10100000
4.80,2.500,10100000
4.83,2.500,10100000
4.84,2.480,10011110
4.87,2.578,10100100
4.89,2.656,10101001
4.91,2.793,10110010
4.93,2.891,10111001
4.95,2.871,10110111
4.97,2.734,10101110
4.99,2.500,10100000
